state,value
 California,"38,332,521"
 Texas,"26,448,193"
 New York,"19,651,127"
 Florida,"19,552,860"
 Illinois,"12,882,135"
 Pennsylvania,"12,773,801"
 Ohio,"11,570,808"
 Georgia,"9,992,167"
 Michigan,"9,895,622"
 North Carolina,"9,848,060"
 New Jersey,"8,899,339"
 Virginia,"8,260,405"
 Washington,"6,971,406"
 Massachusetts,"6,692,824"
 Arizona,"6,626,624"
 Indiana,"6,570,902"
 Tennessee,"6,495,978"
 Missouri,"6,044,171"
 Maryland,"5,928,814"
 Wisconsin,"5,742,713"
 Minnesota,"5,420,380"
 Colorado,"5,268,367"
 Alabama,"4,833,722"
 South Carolina,"4,774,839"
 Louisiana,"4,625,470"
 Kentucky,"4,395,295"
 Oregon,"3,930,065"
 Oklahoma,"3,850,568"
 Puerto Rico,"3,615,086"
 Connecticut,"3,596,080"
 Iowa,"3,090,416"
 Mississippi,"2,991,207"
 Arkansas,"2,959,373"
 Utah,"2,900,872"
 Kansas,"2,893,957"
 Nevada,"2,790,136"
 New Mexico,"2,085,287"
 Nebraska,"1,868,516"
 West Virginia,"1,854,304"
 Idaho,"1,612,136"
 Hawaii,"1,404,054"
 Maine,"1,328,302"
 New Hampshire,"1,323,459"
 Rhode Island,"1,051,511"
 Montana,"1,015,165"
 Delaware,"925,749"
 South Dakota,"844,877"
 Alaska,"735,132"
 North Dakota,"723,393"
 District of Columbia,"646,449"
 Vermont,"626,630"
 Wyoming,"582,658"
,
,
,
,
,
,
